condition 0,1.347847,condition 1,1.415322,condition 2,1.061953, 
condition 0,1.65119,condition 1,1.331456,condition 2,1.112044, 
condition 0,1.719104,condition 1,1.415374,condition 2,1.196288, 
,H,,H,,H,condition 0,1.583821,condition 1,5.072076,condition 2,3.150354, 
condition 0,1.533272,condition 1,1.701792,condition 2,-1,-1,-1,6.318428, 
condition 0,-1,2.59477,-1,5.189536,condition 1,5.610515,2.241486,condition 2,3.083705,-1,-1,4.094347, 
condition 0,1.471394,-1,2.52416,condition 1,2.804356,2.240645,condition 2,1.996284,-1,3.280805, 
condition 0,0.4212938,-1,7.879114,condition 1,3.937946,1.55263,condition 2,-1,2.831491,3.265337, 
condition 0,0.4551032,1.249421,condition 1,1.389833,1.607332,condition 2,1.779069,1.999467, 
condition 0,1.315692,0.4750647,condition 1,2.186491,1.424008,condition 2,3.170678,1.911474, 
condition 0,1.651112,condition 1,1.920804,condition 2,73.24371, 
condition 0,9.187799,condition 1,1.599956,condition 2,12.04975, 
condition 0,3.490662,condition 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.71442,condition 2,6.031374, 
